date,platform,locale,campaign_type,media_source,ad_show_id_final,ad_show_title_final,ad_show_language_final,genre,sub_team,total_cost_dollars,refresh_date
3/2/2026,ios,USA,Scaling,Facebook,abe921d7b916026cf57e327ac4946115baf36880,Weakest Beast Tamer,english,Fantasy,Growth,5608.7590138346,3/5/2026
2/24/2026,android,USA,Scaling,Facebook,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,3689.89888171865,3/5/2026
2/12/2026,android,USA,Testing,Tik Tok,Others,Others,english,,Growth,14.6216090119345,3/5/2026
3/3/2026,ios,USA,Scaling,Affiliates,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Affiliates,1097.83047804515,3/5/2026
2/10/2026,android,USA,Testing,Facebook,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Affiliates,216.200912768908,3/5/2026
2/11/2026,android,USA,Scaling,Tik Tok,6a4577fe1d55a456874f42106439427b5f9e2f49,First Legendary Beast Master,english,Fantasy,Growth,1001.4804104476,3/5/2026
2/4/2026,android,USA,Scaling,Google,6a4577fe1d55a456874f42106439427b5f9e2f49,First Legendary Beast Master,english,Fantasy,Growth,14126.6122999704,3/5/2026
3/2/2026,ios,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Growth,1927.11710148686,3/5/2026
2/24/2026,ios,USA,Scaling,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,997.960676721662,3/5/2026
2/27/2026,ios,USA,Scaling,Affiliates,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,1102.92558056432,3/5/2026
2/9/2026,android,USA,Testing,Facebook,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Script Cracking,686.850002479974,3/5/2026
2/18/2026,android,USA,Testing,Facebook,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,1066.95061486839,3/5/2026
2/27/2026,android,USA,Testing,Facebook,Others,Others,,,UGC,80.1747447498335,3/5/2026
2/3/2026,android,USA,Scaling,Tik Tok,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,1003.46724793137,3/5/2026
2/5/2026,android,USA,Scaling,Facebook,234ed47144507d63e9a903acfe37512c24bc9290,Twists of Love & Revenge,english,Drama/Romance,Growth,2402.25014215006,3/5/2026
2/27/2026,android,USA,Scaling,Facebook,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Growth,11213.8512540277,3/5/2026
2/21/2026,ios,USA,Scaling,Affiliates,Others,Others,english,,Affiliates,15.9658450695638,3/5/2026
2/5/2026,android,USA,Scaling,Google,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,7142.94182698245,3/5/2026
3/3/2026,android,USA,Scaling,Affiliates,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Affiliates,915.060716224014,3/5/2026
2/21/2026,ios,USA,Scaling,Affiliates,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Affiliates,3899.95973637283,3/5/2026
2/8/2026,android,USA,Testing,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Script Cracking,321.745510792501,3/5/2026
2/21/2026,ios,USA,Scaling,Facebook,6608ee0d6404d7ded95464fc1443f2163a1ad298,Wolves of Blood Moon ,english,Romantasy,Growth,3795.83775264432,3/5/2026
2/18/2026,android,USA,Scaling,Facebook,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,3573.82437552987,3/5/2026
2/23/2026,ios,USA,Scaling,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,1004.99037159784,3/5/2026
2/27/2026,ios,USA,Scaling,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,1034.61205454426,3/5/2026
2/9/2026,ios,USA,Scaling,Affiliates,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Affiliates,2431.4212205525,3/5/2026
2/19/2026,android,USA,Testing,Facebook,Others,Others,english,,Growth,692.668011573685,3/5/2026
2/4/2026,android,USA,Testing,Facebook,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,188.858244631705,3/5/2026
2/25/2026,android,USA,Scaling,Affiliates,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Affiliates,1317.81152743366,3/5/2026
3/1/2026,android,USA,Scaling,Facebook,Others,Others,english,,Growth,4550.65364877953,3/5/2026
2/12/2026,ios,USA,Scaling,Facebook,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,20715.6367575163,3/5/2026
2/15/2026,android,USA,Scaling,Facebook,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,4488.08464530601,3/5/2026
2/24/2026,android,USA,Scaling,Facebook,Others,Others,spanish,,Growth,1580.21028425707,3/5/2026
2/4/2026,android,USA,Testing,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,552.028338282061,3/5/2026
2/21/2026,android,USA,Scaling,Google,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,8100.56405307055,3/5/2026
2/27/2026,android,USA,Scaling,Affiliates,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Affiliates,337.117758401017,3/5/2026
2/2/2026,android,USA,Testing,Facebook,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Script Cracking,1013.84519177787,3/5/2026
3/4/2026,android,USA,Scaling,Facebook,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,2300.34386949688,3/5/2026
3/4/2026,android,USA,Testing,Facebook,234ed47144507d63e9a903acfe37512c24bc9290,Twists of Love & Revenge,english,Drama/Romance,Growth,664.096684649884,3/5/2026
2/11/2026,android,USA,Testing,Facebook,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,569.472360922744,3/5/2026
2/2/2026,android,USA,Testing,Facebook,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Growth,1167.90936877982,3/5/2026
3/4/2026,android,USA,Scaling,Google,6a4577fe1d55a456874f42106439427b5f9e2f49,First Legendary Beast Master,english,Fantasy,Growth,6712.11082213064,3/5/2026
2/2/2026,ios,USA,Scaling,Facebook,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,3948.61476257665,3/5/2026
2/12/2026,android,USA,Scaling,Facebook,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,3117.76824194612,3/5/2026
2/23/2026,android,USA,Testing,Facebook,b7fc44c5efcd7431bb98e34a29b3b10e044a57fe,The Royal Accident,english,Drama/Romance,Growth,796.248837960883,3/5/2026
2/3/2026,android,USA,Testing,Facebook,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,410.64516421068,3/5/2026
2/21/2026,android,USA,Testing,Facebook,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Script Cracking,1356.61461731141,3/5/2026
2/20/2026,android,USA,Testing,Facebook,Others,Others,,,Commissioning,1098.69302141608,3/5/2026
2/15/2026,android,USA,Scaling,Tik Tok,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,1007.1308690568,3/5/2026
3/2/2026,android,USA,Scaling,Facebook,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,4124.53972537457,3/5/2026
3/4/2026,android,USA,Scaling,Google,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,6592.52734702009,3/5/2026
