My Vampire System,,,,,,,Shadow Slave,,
SUM of Total Cost ($),Media Source,,,,,,,Columns,
Spend Period,bytedanceglobal_int,Facebook Ads,googleadwords_int,,,,Rows,Values,
1-Mar-2026,17.46%,42.87%,39.68%,,,,,,
28-Feb-2026,17.23%,48.97%,33.80%,,,,,,
27-Feb-2026,11.63%,63.64%,24.73%,,,,,,
26-Feb-2026,18.52%,41.16%,40.32%,,,,,,
25-Feb-2026,13.95%,53.90%,32.15%,,,,,,
24-Feb-2026,15.67%,52.46%,31.87%,,,,,,
23-Feb-2026,14.73%,48.76%,36.51%,,,,,,
22-Feb-2026,14.96%,54.52%,30.52%,,,,,,
21-Feb-2026,17.17%,43.35%,39.48%,,,,,,
20-Feb-2026,12.87%,57.95%,29.18%,,,,,,
19-Feb-2026,11.94%,49.44%,38.62%,,,,,,
Grand Total,14.86%,51.50%,33.65%,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,First Legendary Beast Master,,,
Weakest Beast Tamer,,,,,,SUM of Total Cost ($),Media Source,,
SUM of Total Cost ($),Media Source,,,,,Spend Period,bytedanceglobal_int,Facebook Ads,googleadwords_int
Spend Period,bytedanceglobal_int,Facebook Ads,googleadwords_int,,,1-Mar-2026,14.25%,50.43%,35.33%
1-Mar-2026,21.81%,49.49%,28.70%,,,28-Feb-2026,11.67%,43.11%,45.22%
28-Feb-2026,21.72%,53.10%,25.18%,,,27-Feb-2026,12.83%,73.72%,13.45%
27-Feb-2026,16.88%,62.76%,20.36%,,,26-Feb-2026,15.56%,50.26%,34.18%
26-Feb-2026,22.12%,36.75%,41.14%,,,25-Feb-2026,11.25%,61.47%,27.28%
25-Feb-2026,22.94%,60.40%,16.66%,,,24-Feb-2026,10.77%,50.13%,39.11%
24-Feb-2026,23.14%,52.13%,24.73%,,,23-Feb-2026,8.75%,39.17%,52.08%
23-Feb-2026,24.28%,45.11%,30.61%,,,22-Feb-2026,12.64%,61.63%,25.73%
22-Feb-2026,24.46%,51.50%,24.03%,,,21-Feb-2026,14.93%,64.81%,20.26%
21-Feb-2026,29.04%,40.64%,30.32%,,,20-Feb-2026,10.44%,52.65%,36.91%
20-Feb-2026,18.38%,57.74%,23.88%,,,19-Feb-2026,9.71%,47.76%,42.53%
19-Feb-2026,23.53%,42.66%,33.81%,,,Grand Total,11.76%,53.35%,34.89%
Grand Total,22.16%,50.93%,26.91%,,,,,,
