SUM of Total Cost ($),Media Source,,,,SUM of Total Cost ($),Optimization,,,SUM of Total Cost ($),LA Code,,,,,,
Spend Period,bytedanceglobal_int,Facebook Ads,googleadwords_int,,Spend Period,CPS,ROAS,,Spend Period,FLBM Boneclaw,FLBM Dragon Battle,FLBM Dragonheart,FLBM FG x DB,FLBM Frost Giant,FLBM Juno,Grand Total
30-Mar-2026,9.92%,51.82%,38.27%,,30-Mar-2026,32.71%,67.29%,,30-Mar-2026,,69.61%,,4.33%,26.06%,,100.00%
23-Mar-2026,14.22%,55.55%,30.22%,,23-Mar-2026,41.09%,58.91%,,23-Mar-2026,,69.44%,,7.28%,23.28%,,100.00%
16-Mar-2026,16.74%,65.20%,18.06%,,16-Mar-2026,48.16%,51.84%,,16-Mar-2026,,84.77%,,,15.23%,,100.00%
9-Mar-2026,13.36%,43.65%,42.99%,,9-Mar-2026,33.53%,66.47%,,9-Mar-2026,,62.65%,9.40%,,27.95%,,100.00%
2-Mar-2026,12.18%,44.22%,43.60%,,2-Mar-2026,33.66%,66.34%,,2-Mar-2026,,46.77%,19.19%,,34.03%,,100.00%
23-Feb-2026,11.73%,51.90%,36.37%,,23-Feb-2026,44.53%,55.47%,,23-Feb-2026,,40.97%,30.79%,,28.24%,,100.00%
16-Feb-2026,10.22%,53.10%,36.67%,,16-Feb-2026,53.67%,46.33%,,16-Feb-2026,0.31%,45.88%,16.60%,,36.44%,0.77%,100.00%
9-Feb-2026,8.50%,41.76%,49.74%,,9-Feb-2026,56.17%,43.83%,,9-Feb-2026,2.82%,41.80%,13.92%,,34.28%,7.17%,100.00%
2-Feb-2026,7.54%,48.40%,44.06%,,2-Feb-2026,62.76%,37.24%,,2-Feb-2026,10.35%,49.44%,6.00%,,20.86%,13.35%,100.00%
26-Jan-2026,7.87%,55.39%,36.74%,,26-Jan-2026,65.98%,34.02%,,26-Jan-2026,5.20%,63.00%,0.86%,,16.26%,14.68%,100.00%
Grand Total,10.92%,50.32%,38.76%,,Grand Total,49.32%,50.68%,,Grand Total,2.28%,53.85%,11.93%,0.63%,26.98%,4.33%,100.00%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SUM of Total Cost ($),Media Source,LA Code,,,,,,,,,,,,,,
,bytedanceglobal_int,Facebook Ads,,,,,googleadwords_int,,,,,,,,,
Spend Period,FLBM Dragon Battle,FLBM Dragon Battle,FLBM Dragonheart,FLBM FG x DB,FLBM Frost Giant,FLBM Juno,FLBM Boneclaw,FLBM Dragon Battle,FLBM Dragonheart,FLBM Frost Giant,FLBM Juno,,,,,
30-Mar-2026,8.03%,47.63%,,4.33%,0.94%,,,13.94%,,25.12%,,,,,,
23-Mar-2026,11.36%,49.22%,,7.28%,0.91%,,,8.86%,,22.37%,,,,,,
16-Mar-2026,12.03%,65.05%,,,3.84%,,,7.69%,,11.39%,,,,,,
9-Mar-2026,11.68%,36.67%,,,7.83%,,,14.30%,9.40%,20.12%,,,,,,
2-Mar-2026,12.18%,27.34%,,,16.88%,,,7.25%,19.19%,17.16%,,,,,,
23-Feb-2026,8.78%,25.49%,9.23%,,18.92%,,,6.71%,21.56%,9.32%,,,,,,
16-Feb-2026,7.12%,23.19%,11.48%,,20.27%,,0.31%,15.56%,5.12%,16.17%,0.77%,,,,,
9-Feb-2026,1.91%,17.65%,10.65%,,16.47%,,2.82%,22.24%,3.27%,17.82%,7.17%,,,,,
2-Feb-2026,4.45%,23.20%,3.30%,,15.35%,8.18%,10.35%,21.79%,2.70%,5.52%,5.18%,,,,,
26-Jan-2026,3.32%,32.43%,,,12.86%,12.83%,5.20%,27.26%,0.86%,3.39%,1.85%,,,,,
Grand Total,7.77%,31.05%,4.22%,0.63%,13.62%,2.58%,2.28%,15.03%,7.70%,13.35%,1.76%,,,,,
