SUM of Total Cost ($),Media Source,,,,SUM of Total Cost ($),Optimization,,,,SUM of Total Cost ($),LA Code,,,,,,
Spend Period,bytedanceglobal_int,Facebook Ads,googleadwords_int,,Spend Period,CPS,ROAS,,,Spend Period,MVS Alien Expedition,MVS BloodLust,MVS Grandma,MVS IMF5,MVS OOU,MVS Weapon,Grand Total
30-Mar-2026,0.34%,55.44%,44.22%,,30-Mar-2026,73.04%,26.96%,,,30-Mar-2026,42.70%,,,,,57.30%,100.00%
23-Mar-2026,0.68%,54.33%,44.99%,,23-Mar-2026,74.54%,25.46%,,,23-Mar-2026,43.34%,,,,,56.66%,100.00%
16-Mar-2026,2.29%,54.01%,43.69%,,16-Mar-2026,66.08%,33.92%,,,16-Mar-2026,39.86%,,,,,60.14%,100.00%
9-Mar-2026,6.90%,53.44%,39.67%,,9-Mar-2026,62.24%,37.76%,,,9-Mar-2026,41.04%,,0.32%,,,58.64%,100.00%
2-Mar-2026,13.47%,52.71%,33.81%,,2-Mar-2026,62.39%,37.61%,,,2-Mar-2026,46.69%,,6.66%,,,46.65%,100.00%
23-Feb-2026,14.91%,51.49%,33.60%,,23-Feb-2026,60.86%,39.14%,,,23-Feb-2026,47.18%,,13.81%,,,39.01%,100.00%
16-Feb-2026,11.86%,52.43%,35.71%,,16-Feb-2026,60.63%,39.37%,,,16-Feb-2026,39.93%,,15.62%,,,44.45%,100.00%
9-Feb-2026,8.82%,50.26%,40.92%,,9-Feb-2026,57.47%,42.53%,,,9-Feb-2026,37.39%,,11.80%,8.70%,,42.11%,100.00%
2-Feb-2026,8.59%,53.22%,38.19%,,2-Feb-2026,66.06%,33.94%,,,2-Feb-2026,44.73%,,6.12%,9.53%,0.03%,39.59%,100.00%
26-Jan-2026,8.67%,53.72%,37.61%,,26-Jan-2026,71.18%,28.82%,,,26-Jan-2026,43.87%,6.55%,5.74%,9.32%,3.08%,31.44%,100.00%
Grand Total,8.39%,52.89%,38.72%,,Grand Total,64.07%,35.93%,,,Grand Total,42.89%,0.87%,7.55%,3.62%,0.42%,44.65%,100.00%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SUM of Total Cost ($),Media Source,LA Code,,,,,,,,,,,,,,,
,bytedanceglobal_int,Facebook Ads,,,,,,googleadwords_int,,,,,,,,,
Spend Period,MVS Alien Expedition,MVS Alien Expedition,MVS BloodLust,MVS Grandma,MVS OOU,MVS Weapon,MVS2.0,MVS Alien Expedition,MVS Grandma,MVS IMF5,MVS Weapon,MVS2.0,,,,,
30-Mar-2026,0.34%,14.50%,,,,10.54%,30.39%,,,,9.37%,34.86%,,,,,
23-Mar-2026,0.68%,14.45%,,,,10.90%,28.97%,,,,8.89%,36.10%,,,,,
16-Mar-2026,2.29%,16.67%,,,,12.47%,24.87%,,,,16.14%,27.55%,,,,,
9-Mar-2026,6.90%,20.45%,,0.21%,,14.08%,18.70%,,,,25.00%,14.67%,,,,,
2-Mar-2026,13.61%,22.29%,,0.26%,,11.97%,18.74%,,4.85%,,23.91%,4.36%,,,,,
23-Feb-2026,16.48%,25.24%,,,,12.10%,11.56%,,12.21%,,22.40%,,,,,,
16-Feb-2026,14.60%,25.33%,,,,20.69%,,,15.62%,,23.75%,,,,,,
9-Feb-2026,9.96%,27.43%,,,,20.08%,,,11.80%,8.70%,22.03%,,,,,,
2-Feb-2026,8.59%,31.88%,,,0.03%,21.30%,,4.26%,6.12%,9.53%,18.29%,,,,,,
26-Jan-2026,8.67%,26.41%,6.55%,,3.08%,17.68%,,8.79%,5.74%,9.32%,13.76%,,,,,,
Grand Total,8.78%,22.90%,0.67%,0.06%,0.32%,15.30%,12.63%,1.36%,5.76%,2.79%,19.09%,10.35%,,,,,
