SUM of Total Cost ($),Media Source,,,,SUM of Total Cost ($),Optimization,,,SUM of Total Cost ($),LA Code,
Spend Period,bytedanceglobal_int,Facebook Ads,googleadwords_int,,Spend Period,CPS,ROAS,,Spend Period,WBT Compression,Grand Total
30-Mar-2026,6.07%,56.58%,37.35%,,30-Mar-2026,70.02%,29.98%,,30-Mar-2026,100.00%,100.00%
23-Mar-2026,7.24%,51.76%,41.00%,,23-Mar-2026,65.34%,34.66%,,23-Mar-2026,100.00%,100.00%
16-Mar-2026,12.33%,48.98%,38.69%,,16-Mar-2026,76.03%,23.97%,,16-Mar-2026,100.00%,100.00%
9-Mar-2026,21.33%,42.05%,36.62%,,9-Mar-2026,90.98%,9.02%,,9-Mar-2026,100.00%,100.00%
2-Mar-2026,21.88%,49.13%,28.99%,,2-Mar-2026,100.00%,,,2-Mar-2026,100.00%,100.00%
23-Feb-2026,21.52%,51.97%,26.51%,,23-Feb-2026,98.73%,1.27%,,23-Feb-2026,100.00%,100.00%
16-Feb-2026,22.04%,47.18%,30.78%,,16-Feb-2026,90.71%,9.29%,,2026-02-16,100.00%,100.00%
9-Feb-2026,20.26%,49.96%,29.78%,,9-Feb-2026,89.12%,10.88%,,9-Feb-2026,100.00%,100.00%
2-Feb-2026,18.95%,45.91%,35.14%,,2-Feb-2026,74.97%,25.03%,,2-Feb-2026,100.00%,100.00%
26-Jan-2026,16.74%,45.15%,38.11%,,26-Jan-2026,65.96%,34.04%,,26-Jan-2026,100.00%,100.00%
Grand Total,17.83%,48.18%,33.99%,,Grand Total,83.43%,16.57%,,Grand Total,100.00%,100.00%
,,,,,,,,,,,
,,,,,,,,,,,
SUM of Total Cost ($),Media Source,LA Code,,,,,,,,,
,bytedanceglobal_int,Facebook Ads,googleadwords_int,,,,,,,,
Spend Period,WBT Compression,WBT Compression,WBT Compression,,,,,,,,
30-Mar-2026,6.07%,56.58%,37.35%,,,,,,,,
23-Mar-2026,7.24%,51.76%,41.00%,,,,,,,,
16-Mar-2026,12.33%,48.98%,38.69%,,,,,,,,
9-Mar-2026,21.27%,42.20%,36.52%,,,,,,,,
2-Mar-2026,21.64%,49.69%,28.67%,,,,,,,,
23-Feb-2026,21.52%,51.97%,26.51%,,,,,,,,
16-Feb-2026,22.04%,47.18%,30.78%,,,,,,,,
9-Feb-2026,20.26%,49.96%,29.78%,,,,,,,,
2-Feb-2026,18.95%,45.91%,35.14%,,,,,,,,
26-Jan-2026,16.74%,45.15%,38.11%,,,,,,,,
Grand Total,17.80%,48.26%,33.94%,,,,,,,,
