Daily,,iOS Deep Dive,,,,,,,,,,,,,,,,,
My Vampire System,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Day,Cost,CPI,Listening D0,LDAU D0,Activation D0,Activation D3,Meta Spends (%),UAC Spends (%),TikTok Spends (%),,,,,,,,,,
25-Feb-2026,"$14,325.95",$27.07,74.07%,54.42%,21.73%,29.10%,53.84%,32.12%,14.04%,,,,,,,,,,
24-Feb-2026,"$12,778.94",$24.66,73.70%,54.80%,19.10%,30.29%,52.40%,31.84%,15.76%,,,,,,,,,,
23-Feb-2026,"$13,688.10",$34.93,75.03%,56.91%,22.97%,33.43%,48.76%,36.50%,14.74%,,,,,,,,,,
22-Feb-2026,"$13,528.87",$29.73,74.49%,55.59%,22.85%,32.96%,54.51%,30.51%,14.97%,,,,,,,,,,
21-Feb-2026,"$11,646.59",$26.84,71.20%,50.69%,14.52%,25.11%,43.35%,39.47%,17.19%,,,,,,,,,,
20-Feb-2026,"$15,587.30",$34.52,73.29%,54.47%,23.69%,31.44%,57.95%,29.18%,12.87%,,,,,,,,,,
19-Feb-2026,"$11,828.03",$26.62,74.27%,56.04%,21.61%,31.74%,49.44%,38.62%,11.94%,,,,,,,,,,
18-Feb-2026,"$11,978.87",$26.12,73.05%,57.13%,21.81%,32.05%,50.83%,37.38%,11.79%,,,,,,,,,,
17-Feb-2026,"$12,055.28",$28.18,74.11%,56.81%,23.38%,31.79%,54.53%,37.12%,8.35%,,,,,,,,,,
16-Feb-2026,"$12,125.55",$24.30,71.35%,52.71%,18.64%,27.26%,52.36%,39.32%,8.32%,,,,,,,,,,
15-Feb-2026,"$11,523.80",$23.78,72.42%,52.40%,19.81%,30.33%,48.65%,42.60%,8.75%,,,,,,,,,,
14-Feb-2026,"$11,456.26",$22.21,72.32%,51.38%,19.39%,29.28%,50.00%,41.30%,8.71%,,,,,,,,,,
13-Feb-2026,"$11,069.07",$23.78,72.83%,54.57%,20.84%,31.15%,48.26%,42.68%,9.07%,,,,,,,,,,
12-Feb-2026,"$11,801.74",$26.43,73.01%,55.32%,21.50%,31.35%,50.07%,41.45%,8.48%,,,,,,,,,,
11-Feb-2026,"$11,542.29",$22.23,73.56%,57.96%,24.45%,32.93%,51.50%,39.78%,8.72%,,,,,,,,,,
10-Feb-2026,"$11,526.72",$23.93,73.50%,55.85%,24.71%,33.64%,0.00%,0.00%,0.00%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Weekly,,,,,,,,,,,,,,,,,,,
My Vampire System,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Week,Cost,CPI,Listening D7,LDAU D7,Activation D3,Activation D7,Conversion D7,ARPU D7,Recovery D7,SS D7H10,CPFW D7,D15 CPFSW,D30 CPFSW,Meta Spends (%),UAC Spends (%),TikTok Spends (%),Meta Spends ($),UAC Spends ($),TikTok Spends ($)
23-Feb-2026,"$47,552.98",$72.00,3400.00%,2587.02%,2587.02%,74.75%,56.96%,$0.29,28.62%,,$0.03,,,0.00%,0.00%,0.00%,$0.00,$0.00,
16-Feb-2026,"$88,750.49",$27.99,75.45%,60.12%,30.31%,32.05%,4.98%,$1.10,3.92%,7.16%,"$4,671.08",,,52.20%,35.55%,12.25%,"$46,331.01","$31,546.47","$10,873.01"
9-Feb-2026,"$79,782.32",$23.41,76.21%,60.95%,31.81%,33.92%,5.60%,$1.44,6.13%,9.10%,"$2,573.62",,,50.27%,40.92%,8.81%,"$40,106.50","$32,643.41","$7,032.41"
2-Feb-2026,"$81,838.04",$23.05,76.94%,57.65%,26.50%,29.06%,4.70%,$0.99,4.32%,6.53%,"$3,897.05","$7,439.82",,53.28%,38.14%,8.57%,"$43,606.63","$31,214.61","$7,016.80"
26-Jan-2026,"$84,616.33",$23.25,77.40%,60.09%,30.44%,32.42%,6.18%,$1.28,5.51%,8.05%,"$3,254.47","$3,254.47",,57.15%,34.82%,8.03%,"$48,356.88","$29,463.15","$6,796.30"
19-Jan-2026,"$68,883.28",$19.51,79.78%,62.68%,30.93%,33.14%,5.47%,$1.25,6.43%,7.22%,"$2,994.93","$2,870.14","$1,377.67",39.85%,49.51%,10.64%,"$27,452.70","$34,103.47","$7,327.10"
12-Jan-2026,"$57,845.70",$17.76,78.80%,59.15%,30.31%,32.34%,5.40%,$1.41,7.95%,6.69%,"$2,515.03","$3,213.65","$1,522.26",17.34%,70.46%,12.20%,"$10,027.74","$40,757.90","$7,060.06"
5-Jan-2026,"$70,860.82",$24.35,75.16%,52.79%,25.64%,27.70%,5.33%,$1.62,6.65%,5.43%,"$4,168.28","$3,543.04","$1,864.76",10.82%,82.11%,7.07%,"$7,665.14","$58,184.42","$5,011.27"
29-Dec-2025,"$74,615.94",$27.20,71.70%,48.74%,21.69%,23.69%,3.75%,$0.89,3.28%,5.83%,"$7,461.59","$8,290.66","$3,730.80",5.16%,94.84%,0.00%,"$3,846.71","$70,769.23",$0.00
