Daily,,iOS Deep Dive,,,,,,,,,,,,,,,,,
My Vampire System,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Day,Cost,CPI,Listening D0,LDAU D0,Activation D0,Activation D3,Meta Spends (%),UAC Spends (%),TikTok Spends (%),,,,,,,,,,
25-Feb-2026,"$14,325.95",$27.07,74.07%,54.42%,21.73%,29.10%,53.84%,32.12%,14.04%,,,,,,,,,,
24-Feb-2026,"$12,778.94",$24.66,73.70%,54.80%,19.10%,30.29%,52.40%,31.84%,15.76%,,,,,,,,,,
23-Feb-2026,"$13,688.10",$34.93,75.03%,56.91%,22.97%,33.43%,48.76%,36.50%,14.74%,,,,,,,,,,
22-Feb-2026,"$13,528.87",$29.73,74.49%,55.59%,22.85%,32.96%,54.51%,30.51%,14.97%,,,,,,,,,,
21-Feb-2026,"$11,646.59",$26.84,71.20%,50.69%,14.52%,25.11%,43.35%,39.47%,17.19%,,,,,,,,,,
20-Feb-2026,"$15,587.30",$34.52,73.29%,54.47%,23.69%,31.44%,57.95%,29.18%,12.87%,,,,,,,,,,
19-Feb-2026,"$11,828.03",$26.62,74.27%,56.04%,21.61%,31.74%,49.44%,38.62%,11.94%,,,,,,,,,,
18-Feb-2026,"$11,978.87",$26.12,73.05%,57.13%,21.81%,32.05%,50.83%,37.38%,11.79%,,,,,,,,,,
17-Feb-2026,"$12,055.28",$28.18,74.11%,56.81%,23.38%,31.79%,54.53%,37.12%,8.35%,,,,,,,,,,
16-Feb-2026,"$12,125.55",$24.30,71.35%,52.71%,18.64%,27.26%,52.36%,39.32%,8.32%,,,,,,,,,,
15-Feb-2026,"$11,523.80",$23.78,72.42%,52.40%,19.81%,30.33%,48.65%,42.60%,8.75%,,,,,,,,,,
14-Feb-2026,"$11,456.26",$22.21,72.32%,51.38%,19.39%,29.28%,50.00%,41.30%,8.71%,,,,,,,,,,
13-Feb-2026,"$11,069.07",$23.78,72.83%,54.57%,20.84%,31.15%,48.26%,42.68%,9.07%,,,,,,,,,,
12-Feb-2026,"$11,801.74",$26.43,73.01%,55.32%,21.50%,31.35%,50.07%,41.45%,8.48%,,,,,,,,,,
11-Feb-2026,"$11,542.29",$22.23,73.56%,57.96%,24.45%,32.93%,51.50%,39.78%,8.72%,,,,,,,,,,
10-Feb-2026,"$11,526.72",$23.93,73.50%,55.85%,24.71%,33.64%,0.00%,0.00%,0.00%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Weekly,,,,,,,,,,,,,,,,,,,
First Legendary Beast Master,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Week,Cost,CPI,Listening D7,LDAU D7,Activation D3,Activation D7,Conversion D7,ARPU D7,Recovery D7,SS D7H10,CPFW D7,D15 CPFSW,D30 CPFSW,Meta Spends (%),UAC Spends (%),TikTok Spends (%),Meta Spends ($),UAC Spends ($),TikTok Spends ($)
23-Feb-2026,"$65,672.63",$83.00,2800.00%,2989.80%,2989.80%,75.12%,57.64%,$0.27,27.22%,,$0.03,,,0.00%,0.00%,0.00%,$0.00,$0.00,
16-Feb-2026,"$115,868.57",$26.05,77.15%,59.56%,27.52%,28.76%,4.54%,$0.94,3.63%,3.58%,"$4,291.43",,,53.10%,36.67%,10.23%,"$61,524.58","$42,488.91","$11,855.07"
9-Feb-2026,"$103,010.68",$26.28,77.30%,57.86%,25.61%,27.07%,5.26%,$1.30,4.96%,4.67%,"$3,322.93",,,41.77%,49.73%,8.50%,"$43,025.51","$51,232.01","$8,753.16"
2-Feb-2026,"$115,698.76",$26.62,78.52%,59.73%,26.34%,28.25%,5.11%,$0.99,3.72%,4.60%,"$3,856.63","$4,449.95",,48.40%,44.06%,7.54%,"$56,001.73","$50,975.65","$8,721.37"
26-Jan-2026,"$111,269.41",$24.09,79.04%,60.75%,29.66%,30.94%,6.04%,$1.78,7.41%,5.87%,"$2,099.42","$2,781.74",,55.39%,36.74%,7.87%,"$61,629.67","$40,882.66","$8,757.09"
19-Jan-2026,"$106,408.85",$23.98,80.43%,63.41%,31.12%,32.68%,5.75%,$1.71,7.12%,5.68%,"$3,040.25","$3,224.51","$1,689.03",47.70%,46.05%,6.25%,"$50,759.07","$48,998.68","$6,651.09"
12-Jan-2026,"$71,615.40",$28.85,79.77%,61.32%,31.18%,32.47%,5.52%,$1.00,3.47%,7.17%,"$5,115.39","$5,115.39","$2,652.42",38.03%,52.19%,9.78%,"$27,236.09","$37,376.50","$7,002.81"
5-Jan-2026,"$51,180.90",$28.57,76.87%,58.67%,29.75%,31.71%,5.36%,$1.21,4.23%,7.26%,"$4,265.07","$4,265.07","$2,559.04",33.28%,56.94%,9.78%,"$17,034.48","$29,141.20","$5,005.21"
29-Dec-2025,"$33,558.80",$24.77,70.72%,51.08%,26.65%,27.83%,4.72%,$1.57,6.35%,6.64%,"$2,237.25","$3,050.80","$1,864.38",30.14%,69.86%,0.00%,"$10,116.18","$23,442.62",$0.00
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Daily View >> Performance+Spends Distribution (Media Source),,,,,,,,,,,,,,,,,,,
Weekly View >> Performance+Spends Distribution (Media Source),,,,,,,,,,,,,,,,,,,
