Spend Period,Overall,Overall,Ad Show Title,Platform,Media Source,LA Code,Optimization,Total Cost ($),Reported Impressions,25% Completion per Impressions,50% Completion per Impressions,75% Completion per Impressions,Video Completion per Impressions,CPM,CPC (Cost per Click),CTR(Click through rate),Conversions per Impressions,Column_19,Latest Week
3/2/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Dragonheart,ROAS,3199.71532273561,201599,0,0,0,0,15.8716825119946,1.25873930870795,0.0126091895297099,0.000352184286628405,,True
3/2/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Frost Giant,ROAS,2882.65375801283,202715,0,0,0,0,14.2202291789597,1.29093316525429,0.0110154650617862,0.000414374861258417,,True
3/2/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Dragon Battle,ROAS,1240.9697365681,89118,0,0,0,0,13.9250178030039,1.08856994435798,0.0127920285464215,0.000504948495253484,,True
3/2/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragon Battle,ROAS,2715.18538506913,105208,0.0205497680784731,0.0148847996350087,0.0161299520948977,0.00441981598357539,25.8077844372019,1.12616565121075,0.0229165082503231,0.000551288875370694,,True
3/2/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragon Battle,CPS,1496.46839053452,63151,0.0276005130560086,0.0224541179078716,0.0237684280533958,0.00669823122357524,23.6966697365762,1.04575009820721,0.022659973713797,0.000870928409684724,,True
3/2/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Frost Giant,CPS,1902.98697943497,65601,0.0483681651194341,0.03018246673069,0.0234447645615158,0.00461883202999954,29.0085056544104,2.10507409229533,0.0137802777396686,0.000579259462508193,,True
3/2/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Frost Giant,ROAS,1034.27021693179,41076,0.045038465283864,0.0335962605901256,0.0264631414938163,0.00576979257960853,25.1794287888741,1.72378369488632,0.0146070698217937,0.000657318141980718,,True
3/2/2026,Overall,Overall,First Legendary Beast Master,ios,bytedanceglobal_int,FLBM Dragon Battle,CPS,1995.11345901227,236729,0.00571962032535092,0.00449036662174892,0.00402992451283957,0.000878641822505903,8.42783714294521,1.93512459652015,0.00435519095674801,0,,True
3/2/2026,Overall,Overall,Weakest Beast Tamer,ios,Facebook Ads,WBT Compression,CPS,5602.11770275819,337427,0.0226537888195076,0.0168895790793267,0.0156893194676181,0.00317994707003292,16.6024583176752,1.12447163845005,0.0147646750260056,0.000737937390902328,,True
3/2/2026,Overall,Overall,Weakest Beast Tamer,ios,googleadwords_int,WBT Compression,CPS,3282.85769437155,264651,0,0,0,0,12.4044787073223,1.19943649776088,0.0103419220029397,0.000404306048342912,,True
3/2/2026,Overall,Overall,Weakest Beast Tamer,ios,bytedanceglobal_int,WBT Compression,CPS,2495.54577460718,271350,0.00806707204717155,0.00511516491615994,0.00424543946932006,0.000950801547816473,9.1967782369898,1.4636632109133,0.00628339782568638,7.37055463423622e-06,,True
3/2/2026,Overall,Overall,Weakest Beast Tamer,ios,bytedanceglobal_int,Gen AI,CPS,32.63557378524,5646,0.00726177825008855,0.00495926319518243,0.0038965639390719,0.0012398157987956,5.78029999738577,0.836809584236925,0.00690754516471838,0,,True
3/2/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,MVS Alien Expedition,CPS,2781.07956030965,129709,0.0240692627342744,0.0195591670585695,0.0157660609518229,0.0033690800175778,21.4409143568268,0.789182622108302,0.0271685079678356,0.000624474785866824,,True
3/2/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,NA,CPS,1832.2937742366,105937,0.0360591672409073,0.0227304907633782,0.0207481805223859,0.00374751031273303,17.296070062741,0.933415065836273,0.0185298809669898,0.0011421882817146,,True
3/2/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Weapon,ROAS,2787.98492281562,213650,0,0,0,0,13.0493092572694,4.47509618429474,0.00291598408612216,0.000449333021296513,,True
3/2/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Grandma,ROAS,1612.94137210821,80603,0,0,0,0,20.0109347308191,2.45875209162837,0.00813865488877585,0.000756795652767266,,True
3/2/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Terror 2,ROAS,190.813741420491,16207,0,0,0,0,11.7735386820812,1.37276072964382,0.00857654100080212,0.00012340346763744,,True
3/2/2026,Overall,Overall,My Vampire System,ios,bytedanceglobal_int,MVS Alien Expedition,CPS,2003.31754565022,284030,0.00158081892757807,0.000957645319156427,0.000686547195718762,0.000281660387987184,7.05318996461718,1.60137293816964,0.00440446431714959,7.04150969967961e-06,,True
3/2/2026,Overall,Overall,My Vampire System,ios,bytedanceglobal_int,NA,CPS,13.221127793361,17461,0.00314987686844968,0.00251990149475975,0.00194719660958707,0.00143176221293167,0.757180447475002,0.357327778198946,0.00211900807513888,0,,True
3/1/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragon Battle,ROAS,2617.5870788818,92873,0.0227730341434001,0.0175293142248016,0.0190582838930582,0.00544830036716806,28.1845862509212,1.17013280236111,0.0240866559710572,0.000925995714577972,,True
3/1/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragon Battle,CPS,1418.14711462637,58598,0.0255640124236322,0.0207686269155943,0.0229871326666439,0.00576811495272876,24.2012886894838,0.769477544561244,0.0314515853783405,0.000955664015836718,,True
3/1/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Frost Giant,CPS,2027.89464466439,63952,0.0473792844633475,0.029365774330748,0.023173630222667,0.00451901426069552,31.7096360499185,1.9313282330137,0.0164185639229422,0.000953840380285213,,True
3/1/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Frost Giant,ROAS,1070.67263012565,40409,0.0370956965032542,0.0271474176544829,0.0216783389838897,0.00457818802741963,26.4958952244711,2.24459670885881,0.0118043010220495,0.000470192283897151,,True
3/1/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Dragonheart,ROAS,3128.09463933688,221315,0,0,0,0,14.1341284564393,1.2731357913459,0.0111018231931861,0.00042021552990082,,True
3/1/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Dragon Battle,ROAS,1353.83270718354,115381,0,0,0,0,11.7335844479034,1.17113555984735,0.0100189805947253,0.000338010590998517,,True
3/1/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Frost Giant,ROAS,504.849864274179,40534,0,0,0,0,12.4549727210287,1.3112983487641,0.0094981990427789,0.000518083584151576,,True
3/1/2026,Overall,Overall,First Legendary Beast Master,ios,bytedanceglobal_int,FLBM Dragon Battle,CPS,2004.37660660822,281543,0.00522833101870762,0.00400649279150964,0.00369037766877528,0.000689059930454673,7.11925569667234,1.54658688781498,0.00460320448386214,3.55185531162202e-06,,True
3/1/2026,Overall,Overall,Weakest Beast Tamer,ios,Facebook Ads,WBT Compression,CPS,5719.48846133677,316661,0.0265204745769134,0.0202550993017769,0.0192287651463236,0.00377690969206817,18.0618657218185,1.12788177111748,0.0160139707763191,0.00099791259422537,,True
3/1/2026,Overall,Overall,Weakest Beast Tamer,ios,googleadwords_int,WBT Compression,CPS,3310.64187900892,265071,0,0,0,0,12.4896419412494,1.33547473941465,0.00935221129433246,0.000456481471002108,,True
3/1/2026,Overall,Overall,Weakest Beast Tamer,ios,bytedanceglobal_int,WBT Compression,CPS,2303.59616546705,228495,0.0109586643033764,0.00691043567692947,0.0058469550756034,0.00150987986608022,10.0816042603429,1.412382688821,0.00713801177268649,0,,True
3/1/2026,Overall,Overall,Weakest Beast Tamer,ios,bytedanceglobal_int,Gen AI,CPS,203.919659160073,21006,0.00918785109016471,0.00680757878701323,0.00590307531181567,0.00180900695039512,9.70768633533624,1.07326136400038,0.00904503475197562,0,,True
3/1/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,MVS Alien Expedition,CPS,3072.84415613352,138534,0.0258781237818874,0.021662552153262,0.0175263834149017,0.00373915428703423,22.181155211959,0.908856597495867,0.0244055610896963,0.000656878455830337,,True
3/1/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,NA,CPS,1880.19371357336,91810,0.0468140725411175,0.0299313800239625,0.027796536325019,0.00479250626293432,20.4791821541593,1.03250615792057,0.0198344406927349,0.00167737719202701,,True
3/1/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Weapon,ROAS,3146.43833567961,359847,0,0,0,0,8.74382261260929,3.73242981693904,0.00234266229814337,0.00031124338955167,,True
3/1/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Grandma,ROAS,1236.09508899201,60281,0,0,0,0,20.5055504884127,3.12145224492931,0.00656923408702576,0.00061379207378776,,True
3/1/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Terror 2,ROAS,192.884594269175,23972,0,0,0,0,8.04624538082661,0.936332981889201,0.00859335891873852,0.00054229934924078,,True
3/1/2026,Overall,Overall,My Vampire System,ios,bytedanceglobal_int,MVS Alien Expedition,CPS,1955.29675261546,255557,0.00290737487135942,0.0019799888087589,0.0014791220745274,0.000461736520619666,7.65111796043725,1.35596168697327,0.00564257680282676,3.91302136118361e-06,,True
3/1/2026,Overall,Overall,My Vampire System,ios,bytedanceglobal_int,NA,CPS,51.0599175509409,19788,0.00763088740650899,0.00596321002627855,0.00459874671518091,0.00318374772589448,2.58034756170107,0.495727354863504,0.00520517485344653,0,,True
2/28/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Dragonheart,ROAS,5411.08072465509,372541,0,0,0,0,14.5247925051339,1.32592029518625,0.0109544989678988,0.00036774475829506,,True
2/28/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Dragon Battle,ROAS,2011.18168060781,151577,0,0,0,0,13.2683829380962,1.21448169118829,0.0109251403577059,0.000336462655943843,,True
2/28/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Frost Giant,ROAS,299.147303099554,25237,0,0,0,0,11.8535207472977,0.968114249513121,0.0122439275666679,0.000277370527400245,,True
2/28/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragon Battle,ROAS,2553.06706043321,94903,0.0210003898717638,0.0158582974194704,0.0172808025036089,0.00445718259696743,26.9018583230584,1.19918603120395,0.0224334320305996,0.000906188423969737,,True
2/28/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragon Battle,CPS,1593.23826980614,65907,0.0231690108789658,0.018207474168146,0.0190419834008527,0.00523464882334198,24.1740372009975,0.926301319654734,0.0260973796410093,0.00116831292578936,,True
2/28/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Frost Giant,CPS,1594.82453867209,46662,0.0467618190390467,0.0283742659980283,0.0224593887960224,0.00497192576400497,34.1782293659101,2.29471156643467,0.0148943465775148,0.00132870429900132,,True
2/28/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Frost Giant,ROAS,998.827668332099,41816,0.0360149225176965,0.0253252343600535,0.0206619475798737,0.00418500095657164,23.8862556995432,2.62849386403184,0.00908743064855557,0.000573942988329825,,True
2/28/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragonheart,CPS,630.540231820337,19898,0.0347773645592521,0.0282440446276007,0.0251784098904412,0.0083425469896472,31.6886235712301,2.35276205903111,0.0134686903206352,0.000753844607498241,,True
2/28/2026,Overall,Overall,First Legendary Beast Master,ios,bytedanceglobal_int,FLBM Dragon Battle,CPS,1986.58369825929,183177,0.00671481681652172,0.00540460865720041,0.00471129017289288,0.000906227310197241,10.8451590443084,2.27819231451754,0.00476042297886743,1.09184013276776e-05,,True
2/28/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,MVS Alien Expedition,CPS,2931.053679675,127354,0.0282126984625532,0.0225827221759819,0.0184525024734205,0.00464846019755955,23.0150107548644,0.894978222801527,0.0257157215321073,0.000777360742497291,,True
2/28/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,NA,CPS,2330.79328043686,119851,0.0440880760277344,0.0277094058455916,0.025515014476308,0.00496449758450075,19.4474245557973,1.07360353774153,0.0181141584133632,0.00171880084438177,,True
2/28/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,MVS Weapon,CPS,383.088876748423,16943,0.0227822699639969,0.0187097916543705,0.0168211060615003,0.0049577996812843,22.6104513219868,1.20090556974427,0.0188278345039249,0.00029510712388597,,True
2/28/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Weapon,ROAS,2895.500120204,540954,0,0,0,0,5.35258103314516,3.02244271420042,0.00177094540386058,0.000199647289788041,,True
2/28/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Grandma,ROAS,871.547948373091,73500,0,0,0,0,11.8577952159604,2.14139545054813,0.00553741496598639,0.000462585034013605,,True
2/28/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Terror 2,ROAS,123.587139528287,12836,0,0,0,0,9.62816605860763,1.17702037645988,0.00818011841695232,0.00031162355874104,,True
2/28/2026,Overall,Overall,My Vampire System,ios,bytedanceglobal_int,MVS Alien Expedition,CPS,1943.13548273175,270231,0.00210560594454374,0.0013766000199829,0.00102874947729905,0.000307144628114465,7.19064608698392,1.39093449014441,0.00516965115031214,3.70053768812608e-06,,True
2/28/2026,Overall,Overall,My Vampire System,ios,bytedanceglobal_int,NA,CPS,33.2487217748846,14140,0.00608203677510608,0.0048090523338048,0.0036067892503536,0.00254596888260254,2.35139475069905,0.536269706046526,0.00438472418670438,0,,True
2/28/2026,Overall,Overall,Weakest Beast Tamer,ios,Facebook Ads,WBT Compression,CPS,6068.37741612147,308826,0.0297643333139049,0.0219703004280727,0.0207074533879919,0.0040152059735903,19.6498268154931,1.17331349886339,0.0167472945930718,0.00106856288006838,,True
2/28/2026,Overall,Overall,Weakest Beast Tamer,ios,googleadwords_int,WBT Compression,CPS,2873.86057156125,229556,0,0,0,0,12.5192134884788,1.19197866924979,0.0105028838279112,0.000457404729129275,,True
2/28/2026,Overall,Overall,Weakest Beast Tamer,ios,bytedanceglobal_int,Gen AI,CPS,1332.08882196555,120619,0.00980774173223124,0.0061681824588166,0.00494117842131007,0.000961705867234847,11.0437727220881,1.01686169615691,0.0108606438454969,0,,True
2/28/2026,Overall,Overall,Weakest Beast Tamer,ios,bytedanceglobal_int,WBT Compression,CPS,1138.98616305292,103513,0.0140079023890719,0.00878150570459749,0.00755460666776153,0.0018161969994107,11.0033151686544,1.32132965551383,0.00832745645474481,0,,True
2/27/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,MVS Alien Expedition,CPS,4727.66637668985,185201,0.0243141235738467,0.0191737625606773,0.0148649305349323,0.00299674407805573,25.527218409673,1.06478972447969,0.0239739526244458,0.00052915481017921,,True
2/27/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,NA,CPS,3484.33163609556,166234,0.0333385468676684,0.020314737057401,0.0183777085313473,0.00294163648832368,20.9604030228206,0.942475422260093,0.0222397343503735,0.000890311247999807,,True
2/27/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,MVS Weapon,CPS,1935.86673152085,72385,0.0246459901913379,0.0207777854527871,0.0185950127788906,0.00339849416315535,26.7440316573993,1.16900164946911,0.0228776680251433,0.000497340609242246,,True
2/27/2026,Overall,Overall,My Vampire System,ios,Facebook Ads,MVS Terror,CPS,822.488217704136,29363,0.0305486496611381,0.0230902836903586,0.0210128392875387,0.00439328406497973,28.0110417090943,0.790094349379574,0.0354527807104178,0.000408677587439975,,True
2/27/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Weapon,ROAS,2650.47659124111,350390,0,0,0,0,7.56436140084224,3.5198892313959,0.00214903393361682,0.000273980421815691,,True
2/27/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Grandma,ROAS,1376.73794651642,99013,0,0,0,0,13.904618045271,2.2349641988903,0.00622140527001504,0.000464585458475149,,True
2/27/2026,Overall,Overall,My Vampire System,ios,googleadwords_int,MVS Terror 2,ROAS,232.187678246649,18571,0,0,0,0,12.5027019679419,1.35782267980496,0.00920790479780302,0.000484626568305422,,True
2/27/2026,Overall,Overall,My Vampire System,ios,bytedanceglobal_int,MVS Alien Expedition,CPS,1904.53985761314,236488,0.00261746896248435,0.00172524610128209,0.00123473495483914,0.000363654815466323,8.0534312845182,1.41601476402463,0.00568739217211866,2.11427218294374e-05,,True
2/27/2026,Overall,Overall,My Vampire System,ios,bytedanceglobal_int,NA,CPS,90.3401101822443,22215,0.0101733063245554,0.00760747242853927,0.00616700427638982,0.00441143371595768,4.06662661184984,0.522197168683493,0.00778753094755795,0,,True
2/27/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragon Battle,ROAS,2524.0691032908,93573,0.0163188099131159,0.0123219304713966,0.0127921515821871,0.00341978989665822,26.9743313059408,1.35411432579978,0.0199202761480341,0.000491594797644619,,True
2/27/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragon Battle,CPS,2408.53419748938,91925,0.0187326624966004,0.0149360892031547,0.0153929834103889,0.00377481642643459,26.2010791132921,1.01369284406118,0.0258471580092466,0.000739733478379113,,True
2/27/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Frost Giant,CPS,2601.87110792076,62963,0.0459952670616076,0.0262693963121198,0.0194717532519098,0.00303352762733669,41.3238109353232,3.39669857430908,0.012165875196544,0.000603529056747613,,True
2/27/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Frost Giant,ROAS,976.979733010594,36245,0.0360877362394813,0.0243619809628914,0.0184025382811422,0.00273141122913505,26.9548829634596,3.2350322285119,0.00833218374948268,0.000579390260725617,,True
2/27/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragonheart,CPS,3027.48111295084,84023,0.0361686681027813,0.0275043738024112,0.0241124454018542,0.00498672982397676,36.0315760321679,1.80529583360217,0.0199588207990669,0.000952120252787927,,True
2/27/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Dragonheart,ROAS,1558.72851269733,103480,0,0,0,0,15.0630896085942,1.19442797907841,0.0126111325860069,0.000454194047158871,,True
2/27/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Dragon Battle,ROAS,454.748887935435,34278,0,0,0,0,13.2664941926435,0.905874278755848,0.0146449617830678,0.000583464612871229,,True
2/27/2026,Overall,Overall,First Legendary Beast Master,ios,googleadwords_int,FLBM Frost Giant,ROAS,90.043953329469,5983,0,0,0,0,15.049967128442,1.08486690758396,0.013872639144242,0.000668560922614073,,True
2/27/2026,Overall,Overall,First Legendary Beast Master,ios,bytedanceglobal_int,FLBM Dragon Battle,CPS,1998.06302086298,154876,0.00768356620780495,0.00620496397117694,0.00571424881840956,0.00125261499522198,12.9010500068634,2.16944953405318,0.00594669283814148,0,,True
2/27/2026,Overall,Overall,Weakest Beast Tamer,ios,Facebook Ads,WBT Compression,CPS,9310.53022993581,440330,0.0258465241977607,0.0187382190629754,0.0174550905003065,0.00329071378284468,21.1444376488901,1.20058416891499,0.0176117911566325,0.00063361569731792,,True
2/27/2026,Overall,Overall,Weakest Beast Tamer,ios,googleadwords_int,WBT Compression,CPS,3018.60076246991,234839,0,0,0,0,12.8539159273796,1.35667449998648,0.00947457619901294,0.000306593027563564,,True
2/27/2026,Overall,Overall,Weakest Beast Tamer,ios,bytedanceglobal_int,WBT Compression,CPS,1318.18485573115,111185,0.0123218059990106,0.00780680847236587,0.00647569366371363,0.00137608490353914,11.8557796081409,1.43280962579473,0.00827449745918963,0,,True
2/27/2026,Overall,Overall,Weakest Beast Tamer,ios,bytedanceglobal_int,Gen AI,CPS,1174.44145762273,67816,0.0140232393535448,0.00985018284770555,0.00806594314026188,0.00174000235932523,17.3180585351942,1.60662306104341,0.0107791671581927,1.4745782706146e-05,,True
2/26/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragon Battle,ROAS,2353.4586083951,95265,0.0180968876292447,0.0141290085550831,0.0129008555083189,0.00328557182595916,24.7043364131118,2.11261993572271,0.01169369653073,0.000188946622579121,,True
2/26/2026,Overall,Overall,First Legendary Beast Master,ios,Facebook Ads,FLBM Dragon Battle,CPS,895.49226002554,35587,0.0211875122938151,0.0164104869755809,0.0153426813162109,0.00424312248854918,25.1634658730868,1.44201652178025,0.0174501924860201,0.00039340208503105,,True
