Column_1,Column_2,Mon Mar 02 2026 00:00:00 GMT+0530 (India Standard Time),Column_4,Column_5,Mon Mar 02 2026 00:00:00 GMT+0530 (India Standard Time),Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30
,Show,DRR (D-2),MTD Planned Spends (March),Spends Plan (March),DRR (D-2),Planned DRR,,,,,,,,,,,,,,,,,,,,,,,
,My Vampire System,28397.96141294029,54000,837000,28397.96141294029,27000,,,,,,,,,,,,,,,,,,,,,,,
,Shadow Slave,2327.821127328457,0,0,2327.821127328457,0,,,,,,,,,,,,,,,,,,,,,,,
,First Legendary Beast Master,40617.59031817163,80000,1240000,40617.59031817163,40000,,,,,,,,,,,,,,,,,,,,,,,
,Weakest Beast Tamer,30038.633332545898,56000,868000,30038.633332545898,28000,,,,,,,,,,,,,,,,,,,,,,,
,Princess Ebony & the Silver Dragon,1975.90918842778,4000,62000,1975.90918842778,2000,,,,,,,,,,,,,,,,,,,,,,,
,Soul of a Warrior,74.0500748950539,0,0,74.0500748950539,0,,,,,,,,,,,,,,,,,,,,,,,
,The Mech Touch,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,Others,1559.4003061474568,6000,93000,1559.4003061474568,3000,,,,,,,,,,,,,,,,,,,,,,,
,Total,104991.36576045655,200000,3100000,104991.36576045655,100000,,,,,,,,,,,,,,,,,,,,,,,
,MTD Diff,D-2 Diff,,,D-2 Diff,4991.365760456552,,,,,,,,,,,,,,,,,,,,,,,
D-2 Overall Spends ,3/2/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show Name,Android,iOS,,,iOS,,,,Total,,,,,,,,,,,,,,,,,,,,
,65690.6701830382,39102.17203815556,,,39102.17203815556,,,,,,,,,,,,,,,,,,,,,,,,
,Facebook Ads,Facebook Ads,bytedanceglobal_int,snapchat_int,Facebook Ads,googleadwords_int,bytedanceglobal_int,snapchat_int,,,,,,,,,,,,,,,,,,,,,
,Meta,Meta,Tik Tok,Snapchat,Meta,UAC,Tik Tok,Snapchat,,,,,,,,,,,,,,,,,,,,,
My Vampire System,8730.89018212203,4613.373334546256,0,0,4613.373334546256,4591.740036344319,2016.5386734435767,0,28219.656345087937,,,,,,,,,,,,,,,,,,,,Need one script here asap
First Legendary Beast Master,8855.041775248128,7148.910971970428,770.163341078324,0,7148.910971970428,7323.3388173165395,1995.11345901227,0,40617.59031817161,,,,,,,,,,,,,,,,,,,,"Check Base 2 on all scripts including Juno, Dragon battle, Boneclaw, WBT Compr"
Shadow Slave,1695.26323035661,0,0,0,0,0,0,0,2307.602655917996,,,,,,,,,,,,,,,,,,,,Hourlong
Soul of a Warrior,74.0500748950539,0,0,0,0,0,0,0,74.0500748950539,,,,,,,,,,,,,,,,,,,,
Weakest Beast Tamer,8024.8659258749085,5602.117702758187,2014.6786518856766,3196.3345668693523,5602.117702758187,3282.85769437155,2528.181348392424,0,30038.633332545898,,,,,,,,,,,,,,,,,,,,Scale this up to $10k drr
The Mech Touch,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,Change audience
Princess Ebony & the Silver Dragon,1975.90918842778,0,0,0,0,0,0,0,1975.90918842778,,,,,,,,,,,,,,,,,,,,
